status_name,carrier_name,status_type,substatus_type
THE DELIVERY WAS REFUSED BY THE RECEIVER. THE PACKAGE WILL BE SENT BACK TO THE SHIPPER.,UPS,Exception,Loss/Returns
THE DRIVER WAS NOT ABLE TO RECEIVE PAYMENT. A FINAL ATTEMPT WILL BE MADE THE NEXT BUSINESS DAY.,UPS,Exception,Other Delays
THE DRIVER WAS NOT ABLE TO RECEIVE PAYMENT. A FINAL ATTEMPT WILL BE MADE THE NEXT BUSINESS DAY. / WE'RE UNABLE TO DELIVER YOUR PACKAGE ON SCHEDULE.,UPS,Exception,Other Delays
THE DRIVER WAS UNABLE TO COLLECT FUNDS ON THE FINAL DELIVERY ATTEMPT.,UPS,Exception,Other Delays
THE DRIVER WAS UNABLE TO COLLECT FUNDS ON THE FINAL DELIVERY ATTEMPT. / THE DELIVERY INFORMATION WAS UPDATED IN ERROR. WE'VE CORRECTED THE MISTAKE.,UPS,Exception,Customs/Tax Delays
THE DRIVER WAS UNABLE TO COLLECT FUNDS ON THE FINAL DELIVERY ATTEMPT. / THE PACKAGE IS UNDELIVERABLE AND IS IN THE PROCESS OF BEING DISPOSED OF ACCORDING TO THE LOCAL GUIDELINES.,UPS,Exception,Other Delays
THE DRIVER WAS UNABLE TO COLLECT FUNDS ON THE FINAL DELIVERY ATTEMPT. / THE PACKAGE WILL BE RETURNED TO THE SENDER.,UPS,Exception,Loss/Returns
THE DRIVER WAS UNABLE TO COLLECT FUNDS ON THE FINAL DELIVERY ATTEMPT. / WE'LL CONTACT THE SENDER OR RECEIVER ABOUT THIS DELIVERY.,UPS,Exception,Other Delays
THE DRIVER WAS UNABLE TO COLLECT FUNDS ON THE FINAL DELIVERY ATTEMPT. / WE'RE ATTEMPTING TO GET FURTHER INSTRUCTIONS AND MAY RETURN THE SHIPMENT.,UPS,Exception,Other Delays
THE DRIVER WAS UNABLE TO COLLECT FUNDS ON THE FINAL DELIVERY ATTEMPT. / WE'RE UNABLE TO DELIVER YOUR PACKAGE ON SCHEDULE.,UPS,Exception,Other Delays
THE DRIVER WAS UNABLE TO COLLECT FUNDS ON THE FINAL DELIVERY ATTEMPT. / WE WILL CONTACT THE SENDER.,UPS,Exception,Other Delays
THE ENTIRE SHIPMENT WAS NOT DELIVERED.,UPS,Exception,Other Delays
THE FREIGHT SHIPMENT IS DELAYED.,UPS,Exception,Other Delays
THE IMPORTER HAS NOT ASSIGNED A BROKER. THIS MAY DELAY DELIVERY.,UPS,Exception,Customs/Tax Delays
THE INVESTIGATION HAS BEEN CLOSED. WE WERE UNABLE TO CONTACT THE RECEIVER.,UPS,Exception,Incorrect Info
THE INVESTIGATION REQUIRES ADDITIONAL MERCHANDISE DESCRIPTION. PLEASE VISIT UPS.COM/CLAIMS OR CONTACT UPS FOR ADDITIONAL SUPPORT.,UPS,Exception,Incorrect Info
THE MAXIMUM DAYS TO HOLD THE PACKAGE AT THE UPS ACCESS POINT LOCATION EXPIRED. THE PACKAGE WILL BE RETURNED.,UPS,Exception,Loss/Returns
THE PACKAGE CONTAINS ARTICLES THAT UPS PROHIBITS FOR INTERNATIONAL SHIPPING.,UPS,Exception,Other Delays
THE PACKAGE CONTAINS ARTICLES THAT UPS PROHIBITS FOR INTERNATIONAL SHIPPING. / THE PACKAGE WILL BE RETURNED TO THE SENDER.,UPS,Exception,Other Delays
THE PACKAGE CONTAINS ARTICLES THAT UPS PROHIBITS FOR INTERNATIONAL SHIPPING. / YOUR PACKAGE IS ON THE WAY,UPS,Exception,Other Delays
"THE PACKAGE CONTAINS MULTIPLE, DUPLICATE TRACKING NUMBERS.",UPS,Exception,Carrier Delays
"THE PACKAGE CONTAINS MULTIPLE, DUPLICATE TRACKING NUMBERS. / THE PACKAGE WILL BE FORWARDED TO A UPS FACILITY IN THE DESTINATION CITY.",UPS,Exception,Carrier Delays
"THE PACKAGE CONTAINS MULTIPLE, DUPLICATE TRACKING NUMBERS. / WE'LL CONTACT THE SENDER OR RECEIVER ABOUT THIS DELIVERY.",UPS,Exception,Incorrect Info
THE PACKAGE DID NOT ARRIVE AT THE DESTINATION.,UPS,Exception,Loss/Returns
THE PACKAGE HAS BEEN DAMAGED AND THE SENDER WILL BE NOTIFIED.,UPS,Exception,Other Delays
THE PACKAGE HAS BEEN RESCHEDULED FOR A FUTURE DELIVERY DATE.,UPS,Exception,Carrier Delays
THE PACKAGE IS AT THE CLEARING AGENCY AWAITING FINAL RELEASE.,UPS,Exception,Customs/Tax Delays
THE PACKAGE IS BEING HELD FOR A FUTURE DELIVERY DATE. WE'LL ATTEMPT TO DELIVER ON THE DATE REQUESTED.,UPS,Exception,Other Delays
THE PACKAGE IS BEING HELD FOR A FUTURE DELIVERY DATE. WE'LL ATTEMPT TO DELIVER ON THE DATE REQUESTED. / THE PACKAGE IS BEING HELD FOR A FUTURE DELIVERY DATE.,UPS,Exception,Carrier Delays
THE PACKAGE IS BEING HELD FOR A FUTURE DELIVERY DATE. WE'LL ATTEMPT TO DELIVER ON THE DATE REQUESTED. / THE PACKAGE IS UNDELIVERABLE AND IS IN THE PROCESS OF BEING DISPOSED OF ACCORDING TO THE LOCAL GUIDELINES.,UPS,Exception,Carrier Delays
THE PACKAGE IS BEING HELD FOR A FUTURE DELIVERY DATE. WE'LL ATTEMPT TO DELIVER ON THE DATE REQUESTED. / WE'LL ATTEMPT TO REDELIVER TODAY.,UPS,Exception,Carrier Delays
THE PACKAGE IS BEING HELD FOR A FUTURE DELIVERY DATE. WE'LL ATTEMPT TO DELIVER ON THE DATE REQUESTED. / WE'RE UNABLE TO DELIVER YOUR PACKAGE ON SCHEDULE.,UPS,Exception,Carrier Delays
THE PACKAGE IS BEING HELD FOR A FUTURE DELIVERY DATE. WE'LL ATTEMPT TO DELIVER ON THE DATE REQUESTED. / WE'VE CONFIRMED ARRANGEMENTS.,UPS,Exception,Carrier Delays
THE PACKAGE IS BEING HELD FOR A FUTURE DELIVERY DATE. WE'LL ATTEMPT TO DELIVER ON THE DATE REQUESTED. / YOUR DELIVERY WILL BE RESCHEDULED.,UPS,Exception,Carrier Delays
THE PACKAGE IS BEING HELD FOR PICKUP AS THE RECEIVER REQUESTED. PICKUP MUST BE MADE WITHIN 5 BUSINESS DAYS.,UPS,Exception,Other Delays
THE PACKAGE IS BEING RETURNED TO THE SENDER BECAUSE THE RECEIVER REFUSED DELIVERY.,UPS,Exception,Loss/Returns
THE PACKAGE IS DELAYED DUE TO A EUROTUNNEL TRAFFIC DISRUPTION. WE ARE ADJUSTING DELIVERY PLANS AS QUICKLY AS POSSIBLE.,UPS,Exception,Carrier Delays
THE PACKAGE IS EITHER OVERWEIGHT OR OVERSIZED. WE REQUIRE PRE-AUTHORIZATION FOR DELIVERY.,UPS,Exception,Other Delays
THE PACKAGE IS MISSING DUTY INFORMATION AND WILL BE RETURNED TO EXPORT LOCATION. / YOUR DELIVERY WILL BE RESCHEDULED.,UPS,Exception,Customs/Tax Delays
THE PACKAGE IS NOT CLAIM ELIGIBLE BECAUSE THE LIABILITY PERIOD HAS PASSED.,UPS,Exception,Loss/Returns
/ THE PACKAGE IS UNDELIVERABLE AND IS IN THE PROCESS OF BEING DISPOSED OF ACCORDING TO THE LOCAL GUIDELINES.,UPS,Exception,Loss/Returns
THE PACKAGE IS UNDELIVERABLE AND IS IN THE PROCESS OF BEING DISPOSED OF ACCORDING TO THE LOCAL GUIDELINES.,UPS,Exception,Loss/Returns
THE PACKAGE IS UNDELIVERABLE AND IS IN THE PROCESS OF BEING DISPOSED OF ACCORDING TO THE LOCAL GUIDELINES. / THE PACKAGE IS AT THE CLEARING AGENCY AWAITING FINAL RELEASE.,UPS,Exception,Other Delays
THE PACKAGE IS UNDELIVERABLE AND IS IN THE PROCESS OF BEING DISPOSED OF ACCORDING TO THE LOCAL GUIDELINES. / THE PACKAGE IS UNDELIVERABLE AND IS IN THE PROCESS OF BEING DISPOSED OF ACCORDING TO THE LOCAL GUIDELINES.,UPS,Exception,Loss/Returns
THE PACKAGE REMAINS AT THE UPS ACCESS POINT LOCATION AND IS REACHING THE MAXIMUM DAYS ALLOWED TO BE HELD.,UPS,Exception,Other Delays
THE PACKAGE WAS DAMAGED IN TRANSIT. WE WILL NOTIFY THE SENDER WITH DETAILS.,UPS,Exception,Carrier Delays
THE PACKAGE WAS DELIVERED AT THE RECEIVER'S LOCATION.,UPS,Transit,Delivered
THE PACKAGE WAS GIVEN TO UPS AFTER THE CUTOFF TIME AND THE DELIVERY DATE MAY BE IMPACTED.,UPS,Exception,Other Delays
THE PACKAGE WAS MISSED AT THE DESTINATION LOCATION.,UPS,Exception,Carrier Delays
THE PACKAGE WAS MISSED AT THE DESTINATION LOCATION. / YOUR DELIVERY WILL BE RESCHEDULED.,UPS,Exception,Carrier Delays
THE PACKAGE WAS NOT PICKED UP AT THE UPS ACCESS POINT LOCATION BY THE EXPIRATION DATE AND IS BEING RETURNED TO SENDER.,UPS,Exception,Loss/Returns
THE PACKAGE WAS NOT PICKED UP BY THE RECEIVER AT THE UPS ACCESS POINT LOCATION AND WILL BE RETURNED TO SENDER. / WE WILL CONTACT THE SENDER.,UPS,Exception,Loss/Returns
THE PACKAGE WAS NOT READY FOR PICKUP AT THE TIME OF THE FINAL ATTEMPT.,UPS,Exception,Carrier Delays
THE PACKAGE WAS NOT READY FOR PICKUP AT THE TIME OF THE FINAL ATTEMPT. / THE DELIVERY INFORMATION WAS UPDATED IN ERROR. WE'VE CORRECTED THE MISTAKE.,UPS,Exception,Carrier Delays
THE PACKAGE WAS NOT READY FOR PICKUP AT THE TIME OF THE FINAL ATTEMPT. / THE PACKAGE IS UNDELIVERABLE AND IS IN THE PROCESS OF BEING DISPOSED OF ACCORDING TO THE LOCAL GUIDELINES.,UPS,Exception,Carrier Delays
THE PACKAGE WAS NOT READY FOR PICKUP AT THE TIME OF THE FINAL ATTEMPT. / THE RETURN LABEL WAS DISCARDED.,UPS,Exception,Loss/Returns
THE PACKAGE WAS NOT READY FOR PICKUP AT THE TIME OF THE FINAL ATTEMPT. / WE WILL CONTACT THE SENDER.,UPS,Exception,Carrier Delays
THE PACKAGE WAS REFUSED AND WILL BE RETURNED TO THE SENDER.,UPS,Exception,Loss/Returns
THE PACKAGE WAS REFUSED BY THE RECEIVER AND WILL BE RETURNED TO THE SENDER.,UPS,Exception,Loss/Returns
THE PACKAGE WILL BE HELD UNTIL ALL PACKAGES ASSOCIATED WITH THIS SHIPMENT HAVE ARRIVED.,UPS,Exception,Carrier Delays
THE PACKAGE WILL BE HELD UNTIL ALL PACKAGES ASSOCIATED WITH THIS SHIPMENT HAVE ARRIVED. / THE SENDER REQUESTED THAT WE RETURN THIS PACKAGE.,UPS,Exception,Carrier Delays
THE PACKAGE WILL BE HELD UNTIL ALL PACKAGES ASSOCIATED WITH THIS SHIPMENT HAVE ARRIVED. / WE'LL CONTACT THE SENDER OR RECEIVER ABOUT THIS DELIVERY.,UPS,Exception,Carrier Delays
THE PACKAGE WILL BE HELD UNTIL ALL PACKAGES ASSOCIATED WITH THIS SHIPMENT HAVE ARRIVED. / WE'VE CONTACTED THE RECEIVER.,UPS,Exception,Other Delays
THE PACKAGE WILL BE HELD UNTIL ALL PACKAGES ASSOCIATED WITH THIS SHIPMENT HAVE ARRIVED. / YOUR DELIVERY WILL BE RESCHEDULED.,UPS,Exception,Carrier Delays
THE PACKAGE WILL BE HELD UNTIL ALL PACKAGES ASSOCIATED WITH THIS SHIPMENT HAVE ARRIVED. / YOUR PACKAGE IS ON THE WAY,UPS,Exception,Carrier Delays
/ THE PACKAGE WILL BE RETURNED TO THE SENDER.,UPS,Exception,Loss/Returns
THE PACKAGE WILL BE RETURNED TO THE SENDER.,UPS,Exception,Loss/Returns
THE POSTAL CODE FOR THE RECEIVER IS INCORRECT. WE ARE ATTEMPTING TO OBTAIN CORRECT POSTAL CODE TO COMPLETE DELIVERY.,UPS,Exception,Incorrect Info
THE POSTAL CODE FOR THE RECEIVER IS INCORRECT. WE ARE ATTEMPTING TO OBTAIN CORRECT POSTAL CODE TO COMPLETE DELIVERY. / DELIVERY WILL BE RESCHEDULED.,UPS,Exception,Incorrect Info
THE POSTAL CODE FOR THE RECEIVER IS INCORRECT. WE ARE ATTEMPTING TO OBTAIN CORRECT POSTAL CODE TO COMPLETE DELIVERY. / THE ADDRESS HAS BEEN CORRECTED.,UPS,Exception,Incorrect Info
THE POSTAL CODE FOR THE RECEIVER IS INCORRECT. WE ARE ATTEMPTING TO OBTAIN CORRECT POSTAL CODE TO COMPLETE DELIVERY. / THE PACKAGE WILL BE FORWARDED TO A UPS FACILITY IN THE DESTINATION CITY.,UPS,Exception,Incorrect Info
THE POSTAL CODE FOR THE RECEIVER IS INCORRECT. WE ARE ATTEMPTING TO OBTAIN CORRECT POSTAL CODE TO COMPLETE DELIVERY. / THE PACKAGE WILL BE RETURNED TO THE SENDER.,UPS,Exception,Loss/Returns
THE POSTAL CODE FOR THE RECEIVER IS INCORRECT. WE ARE ATTEMPTING TO OBTAIN CORRECT POSTAL CODE TO COMPLETE DELIVERY. / WE WILL CONTACT THE SENDER.,UPS,Exception,Incorrect Info
THE POSTAL CODE FOR THE RECEIVER IS INCORRECT. WE ARE ATTEMPTING TO OBTAIN CORRECT POSTAL CODE TO COMPLETE DELIVERY. / YOUR DELIVERY HAS BEEN RESCHEDULED FOR THE NEXT BUSINESS DAY.,UPS,Exception,Incorrect Info
THE POSTAL CODE FOR THE RECEIVER IS INCORRECT. WE ARE ATTEMPTING TO OBTAIN CORRECT POSTAL CODE TO COMPLETE DELIVERY. / YOUR DELIVERY WILL BE RESCHEDULED.,UPS,Exception,Incorrect Info
THE RECEIVER DETERMINED THIS IS A DUPLICATE PRODUCT ORDER AND HAS REFUSED THE DELIVERY. / WE'VE CONTACTED THE SENDER.,UPS,Exception,Loss/Returns
THE RECEIVER DETERMINED THIS PRODUCT ORDER IS LATE AND HAS REFUSED THE DELIVERY.,UPS,Exception,Loss/Returns
THE RECEIVER DETERMINED THIS PRODUCT ORDER IS TOO EXPENSIVE AND REFUSED THE DELIVERY.,UPS,Exception,Loss/Returns
THE RECEIVER DOES NOT WANT THE PRODUCT AND REFUSED THE DELIVERY.,UPS,Exception,Loss/Returns
THE RECEIVER DOES NOT WANT THE PRODUCT AND REFUSED THE DELIVERY. / DELIVERY WILL BE RESCHEDULED.,UPS,Exception,Loss/Returns
THE RECEIVER DOES NOT WANT THE PRODUCT AND REFUSED THE DELIVERY. / THE ADDRESS WAS CORRECTED.,UPS,Exception,Loss/Returns
THE RECEIVER DOES NOT WANT THE PRODUCT AND REFUSED THE DELIVERY. / THE DELIVERY INFORMATION WAS UPDATED IN ERROR. WE'VE CORRECTED THE MISTAKE.,UPS,Exception,Loss/Returns
THE RECEIVER DOES NOT WANT THE PRODUCT AND REFUSED THE DELIVERY. / THE PACKAGE IS BEING RETURNED TO THE SENDER AT A DIFFERENT SERVICE LEVEL.,UPS,Exception,Loss/Returns
THE RECEIVER DOES NOT WANT THE PRODUCT AND REFUSED THE DELIVERY. / THE PACKAGE IS UNDELIVERABLE AND IS IN THE PROCESS OF BEING DISPOSED OF ACCORDING TO THE LOCAL GUIDELINES.,UPS,Exception,Loss/Returns
THE RECEIVER DOES NOT WANT THE PRODUCT AND REFUSED THE DELIVERY. / THE PACKAGE WILL BE RETURNED TO THE SENDER.,UPS,Exception,Loss/Returns
THE RECEIVER DOES NOT WANT THE PRODUCT AND REFUSED THE DELIVERY. / WE'LL CONTACT THE SENDER OR RECEIVER ABOUT THIS DELIVERY.,UPS,Exception,Loss/Returns
THE RECEIVER DOES NOT WANT THE PRODUCT AND REFUSED THE DELIVERY. / WE'RE UNABLE TO CONTACT THE RECEIVER.,UPS,Exception,Loss/Returns
THE RECEIVER DOES NOT WANT THE PRODUCT AND REFUSED THE DELIVERY. / WE SENT THE PACKAGE TO UPS LOST AND FOUND.,UPS,Exception,Loss/Returns
THE RECEIVER DOES NOT WANT THE PRODUCT AND REFUSED THE DELIVERY. / WE'VE CONTACTED THE RECEIVER.,UPS,Exception,Loss/Returns
THE RECEIVER DOES NOT WANT THE PRODUCT AND REFUSED THE DELIVERY. / WE WILL CONTACT THE SENDER.,UPS,Exception,Loss/Returns
THE RECEIVER DOES NOT WANT THE PRODUCT AND REFUSED THE DELIVERY. / YOUR DELIVERY WILL BE RESCHEDULED.,UPS,Exception,Loss/Returns
THE RECEIVER DOES NOT WANT THE PRODUCT AND REFUSED THE DELIVERY. / YOUR PACKAGE IS ON THE WAY,UPS,Exception,Loss/Returns
THE RECEIVER DOESN'T ACCEPT C.O.D.S AND REFUSED THE DELIVERY.,UPS,Exception,Loss/Returns
THE RECEIVER DOESN'T ACCEPT C.O.D.S AND REFUSED THE DELIVERY. / THE PACKAGE WILL BE RETURNED TO THE SENDER.,UPS,Exception,Loss/Returns
THE RECEIVER DOESN'T ACCEPT C.O.D.S AND REFUSED THE DELIVERY. WE'LL CONTACT THE SENDER ABOUT THIS DELIVERY ATTEMPT.,UPS,Exception,Loss/Returns
THE RECEIVER DOESN'T ACCEPT C.O.D.S AND REFUSED THE DELIVERY. / WE WILL CONTACT THE SENDER.,UPS,Exception,Loss/Returns
THE RECEIVER DOESN'T ACCEPT C.O.D.S AND REFUSED THE DELIVERY. / YOUR DELIVERY WILL BE RESCHEDULED.,UPS,Exception,Loss/Returns
THE RECEIVER HAD NO INVOICE INFORMATION FOR THIS PACKAGE AND HAS REFUSED THE DELIVERY.,UPS,Exception,Loss/Returns
THE RECEIVER HAD NO INVOICE INFORMATION FOR THIS PACKAGE AND HAS REFUSED THE DELIVERY. / THE PACKAGE WILL BE RETURNED TO THE SENDER.,UPS,Exception,Loss/Returns
THE RECEIVER HAD NO INVOICE INFORMATION FOR THIS PACKAGE AND HAS REFUSED THE DELIVERY. / WE'LL CONTACT THE SENDER OR RECEIVER ABOUT THIS DELIVERY.,UPS,Exception,Loss/Returns
THE RECEIVER HAS CANCELED THE PRODUCT ORDER AND REFUSED DELIVERY.,UPS,Exception,Loss/Returns
THE RECEIVER HAS CANCELED THE PRODUCT ORDER AND REFUSED DELIVERY. / THE PACKAGE IS UNDELIVERABLE AND IS IN THE PROCESS OF BEING DISPOSED OF ACCORDING TO THE LOCAL GUIDELINES.,UPS,Exception,Loss/Returns
THE RECEIVER HAS CANCELED THE PRODUCT ORDER AND REFUSED DELIVERY. / WE'LL CONTACT THE SENDER OR RECEIVER ABOUT THIS DELIVERY.,UPS,Exception,Loss/Returns
THE RECEIVER HAS CANCELED THE PRODUCT ORDER AND REFUSED DELIVERY. / WE SENT THE PACKAGE TO UPS LOST AND FOUND.,UPS,Exception,Loss/Returns
THE RECEIVER HAS MOVED. WE'RE ATTEMPTING TO OBTAIN A NEW DELIVERY ADDRESS FOR THIS RECEIVER.,UPS,Exception,Incorrect Info
THE RECEIVER HAS MOVED. WE'RE ATTEMPTING TO OBTAIN A NEW DELIVERY ADDRESS FOR THIS RECEIVER. / DELIVERY WILL BE RESCHEDULED.,UPS,Exception,Incorrect Info
THE RECEIVER HAS MOVED. WE'RE ATTEMPTING TO OBTAIN A NEW DELIVERY ADDRESS FOR THIS RECEIVER. / THE DELIVERY INFORMATION WAS UPDATED IN ERROR. WE'VE CORRECTED THE MISTAKE.,UPS,Exception,Incorrect Info
THE RECEIVER HAS MOVED. WE'RE ATTEMPTING TO OBTAIN A NEW DELIVERY ADDRESS FOR THIS RECEIVER. / THE PACKAGE IS UNDELIVERABLE AND IS IN THE PROCESS OF BEING DISPOSED OF ACCORDING TO THE LOCAL GUIDELINES.,UPS,Exception,Incorrect Info
THE RECEIVER HAS MOVED. WE'RE ATTEMPTING TO OBTAIN A NEW DELIVERY ADDRESS FOR THIS RECEIVER. / THE PACKAGE WILL BE RETURNED TO THE SENDER.,UPS,Exception,Incorrect Info
THE RECEIVER HAS MOVED. WE'RE ATTEMPTING TO OBTAIN A NEW DELIVERY ADDRESS FOR THIS RECEIVER. / THE SENDER REQUESTED THAT WE RETURN THIS PACKAGE.,UPS,Exception,Loss/Returns
THE RECEIVER HAS MOVED. WE'RE ATTEMPTING TO OBTAIN A NEW DELIVERY ADDRESS FOR THIS RECEIVER. / WE'LL CONTACT THE SENDER OR RECEIVER ABOUT THIS DELIVERY.,UPS,Exception,Incorrect Info
THE RECEIVER HAS MOVED. WE'RE ATTEMPTING TO OBTAIN A NEW DELIVERY ADDRESS FOR THIS RECEIVER. / WE'VE ATTEMPTED TO CONTACT THE RECEIVER REGARDING PICKUP ARRANGEMENTS.,UPS,Exception,Incorrect Info
THE RECEIVER HAS MOVED. WE'RE ATTEMPTING TO OBTAIN A NEW DELIVERY ADDRESS FOR THIS RECEIVER. / WE'VE CONTACTED THE SENDER.,UPS,Exception,Incorrect Info
THE RECEIVER HAS MOVED. WE'RE ATTEMPTING TO OBTAIN A NEW DELIVERY ADDRESS FOR THIS RECEIVER. / WE WILL CONTACT THE SENDER.,UPS,Exception,Incorrect Info
THE RECEIVER HAS MOVED. WE'RE ATTEMPTING TO OBTAIN A NEW DELIVERY ADDRESS FOR THIS RECEIVER. / YOUR DELIVERY HAS BEEN RESCHEDULED FOR THE NEXT BUSINESS DAY.,UPS,Exception,Incorrect Info
THE RECEIVER HAS MOVED. WE'RE ATTEMPTING TO OBTAIN A NEW DELIVERY ADDRESS FOR THIS RECEIVER. / YOUR DELIVERY WILL BE RESCHEDULED.,UPS,Exception,Incorrect Info
THE RECEIVER HAS MOVED. WE'RE ATTEMPTING TO OBTAIN A NEW DELIVERY ADDRESS FOR THIS RECEIVER. / YOUR PACKAGE WILL BE DELIVERED TO AN ALTERNATE ADDRESS.,UPS,Exception,Incorrect Info
THE RECEIVER HAS MOVED. WE'RE RETURNING THE PACKAGE TO THE SENDER.,UPS,Exception,Loss/Returns
THE RECEIVER HAS MOVED. WE WILL DELIVER THE PACKAGE TO THE RECEIVER'S NEW ADDRESS.,UPS,Exception,Incorrect Info
THE RECEIVER HAS REQUESTED A DELAYED DELIVERY.,UPS,Exception,Other Delays
THE RECEIVER HAS REQUESTED A DELAYED DELIVERY. / THE PACKAGE IS UNDELIVERABLE AND IS IN THE PROCESS OF BEING DISPOSED OF ACCORDING TO THE LOCAL GUIDELINES.,UPS,Exception,Loss/Returns
THE RECEIVER HAS REQUESTED A DELAYED DELIVERY. / WE'LL CONTACT THE SENDER OR RECEIVER ABOUT THIS DELIVERY.,UPS,Exception,Other Delays
THE RECEIVER HAS REQUESTED A DELAYED DELIVERY. / YOUR DELIVERY HAS BEEN RESCHEDULED FOR THE NEXT BUSINESS DAY.,UPS,Exception,Other Delays
THE RECEIVER HAS REQUESTED A DELAYED DELIVERY. / YOUR DELIVERY WILL BE RESCHEDULED.,UPS,Exception,Other Delays
THE RECEIVER IS NO LONGER IN BUSINESS.,UPS,Exception,Incorrect Info
THE RECEIVER IS NO LONGER IN BUSINESS. / YOUR DELIVERY WILL BE RESCHEDULED.,UPS,Exception,Other Delays
THE RECEIVER IS NOT LISTED IN THE BUILDING DIRECTORY. WE ARE ATTEMPTING TO UPDATE THIS INFORMATION. / THE PACKAGE WILL BE RETURNED TO THE SENDER.,UPS,Exception,Incorrect Info
THE RECEIVER IS NOT LISTED IN THE BUILDING DIRECTORY. WE ARE ATTEMPTING TO UPDATE THIS INFORMATION. / YOUR DELIVERY WILL BE RESCHEDULED.,UPS,Exception,Incorrect Info
THE RECEIVER IS ON VACATION.,UPS,Exception,Other Delays
THE RECEIVER IS ON VACATION. / YOUR DELIVERY HAS BEEN RESCHEDULED FOR THE NEXT BUSINESS DAY.,UPS,Exception,Other Delays
THE RECEIVER IS ON VACATION. / YOUR DELIVERY WILL BE RESCHEDULED.,UPS,Exception,Other Delays
THE RECEIVER REFUSED THE DELIVERY.,UPS,Exception,Loss/Returns
THE RECEIVER REFUSED THE DELIVERY. / THE PACKAGE WILL BE RETURNED TO THE SENDER.,UPS,Exception,Loss/Returns
THE RECEIVER REFUSED THE DELIVERY. UPS WILL CONTACT THE SENDER FOR FURTHER INSTRUCTIONS.,UPS,Exception,Loss/Returns
"THE RECEIVER REFUSED, THE PACKAGE APPEARED TO BE DAMAGED. UPS WILL NOTIFY THE SENDER WITH THE DETAILS.",UPS,Exception,Loss/Returns
"THE RECEIVER REFUSED, THE PACKAGE APPEARED TO BE DAMAGED. UPS WILL NOTIFY THE SENDER WITH THE DETAILS. / ALL MERCHANDISE IS BEING RETURNED. UPS WILL NOTIFY THE SENDER WITH DETAILS OF THE DAMAGE.",UPS,Exception,Loss/Returns
THE RECEIVER REQUESTED AN ALTERNATE DELIVERY ADDRESS. THE REQUEST IS IN PROGRESS.,UPS,Exception,Incorrect Info
THE RECEIVER REQUESTED A TEMPORARY CHANGE TO THE DELIVERY ADDRESS. / THE ADDRESS WAS CORRECTED.,UPS,Transit,Incorrect Info
THE RECEIVER REQUESTED/CREATED A PRE-AUTHORIZED RETURN LABEL.,UPS,Exception,Loss/Returns
THE RECEIVER REQUESTED THIS PACKAGE TO BE HELD FOR PICKUP AT THE UPS FACILITY.,UPS,Exception,Other Delays
THE RECEIVER REQUESTED THIS PACKAGE TO BE HELD FOR PICKUP AT THE UPS FACILITY. / DELIVERY WILL BE RESCHEDULED.,UPS,Exception,Other Delays
THE RECEIVER REQUESTED THIS PACKAGE TO BE HELD FOR PICKUP AT THE UPS FACILITY. / PACKAGE MUST BE PICKED UP WITHIN 5 BUSINESS DAYS.,UPS,Exception,Other Delays
THE RECEIVER REQUESTED THIS PACKAGE TO BE HELD FOR PICKUP AT THE UPS FACILITY. / THE ADDRESS WAS CORRECTED.,UPS,Exception,Carrier Delays
THE RECEIVER REQUESTED THIS PACKAGE TO BE HELD FOR PICKUP AT THE UPS FACILITY. / THE DELIVERY INFORMATION WAS UPDATED IN ERROR. WE'VE CORRECTED THE MISTAKE.,UPS,Exception,Carrier Delays
THE RECEIVER REQUESTED THIS PACKAGE TO BE HELD FOR PICKUP AT THE UPS FACILITY. / THE PACKAGE WILL BE RETURNED TO THE SENDER.,UPS,Exception,Other Delays
THE RECEIVER REQUESTED THIS PACKAGE TO BE HELD FOR PICKUP AT THE UPS FACILITY. / WE'LL CONTACT THE SENDER OR RECEIVER ABOUT THIS DELIVERY.,UPS,Exception,Other Delays
THE RECEIVER REQUESTED THIS PACKAGE TO BE HELD FOR PICKUP AT THE UPS FACILITY. / WE'VE CONFIRMED ARRANGEMENTS.,UPS,Exception,Other Delays
THE RECEIVER STATES THE PRODUCT WAS NOT ORDERED AND HAS REFUSED THE DELIVERY.,UPS,Exception,Loss/Returns
THE RECEIVER STATES THE PRODUCT WAS NOT ORDERED AND HAS REFUSED THE DELIVERY. / THE PACKAGE WILL BE RETURNED TO THE SENDER.,UPS,Exception,Loss/Returns
THE RECEIVER WAS NOT AVAILABLE AT THE TIME OF THE DELIVERY ATTEMPT.,UPS,Exception,Incorrect Info
THE RECEIVER WAS NOT AVAILABLE AT THE TIME OF THE DELIVERY ATTEMPT. / THE PACKAGE WILL BE RETURNED TO THE SENDER.,UPS,Exception,Incorrect Info
THE RECEIVER WAS NOT AVAILABLE AT THE TIME OF THE DELIVERY ATTEMPT. / THIS PACKAGE WAS ABANDONED BY BOTH THE SENDER AND RECEIVER.,UPS,Exception,Incorrect Info
THE RECEIVER WAS NOT AVAILABLE AT THE TIME OF THE DELIVERY ATTEMPT. / WE'LL CONTACT THE SENDER OR RECEIVER ABOUT THIS DELIVERY.,UPS,Exception,Incorrect Info
THE RECEIVER WAS NOT AVAILABLE AT THE TIME OF THE DELIVERY ATTEMPT. / WE'RE UNABLE TO DELIVER YOUR PACKAGE ON SCHEDULE.,UPS,Exception,Other Delays
