status_name,carrier_name,status_type,substatus_type
THE ADDRESS LABEL IS ILLEGIBLE. THIS MAY DELAY DELIVERY. WE'RE ATTEMPTING TO UPDATE THE ADDRESS.,UPS,Exception,Incorrect Info
THE ADDRESS LABEL IS ILLEGIBLE. THIS MAY DELAY DELIVERY. WE'RE ATTEMPTING TO UPDATE THE ADDRESS. / THE PACKAGE WILL BE FORWARDED TO A UPS FACILITY IN THE DESTINATION CITY.,UPS,Exception,Incorrect Info
THE ADDRESS LABEL IS ILLEGIBLE. THIS MAY DELAY DELIVERY. WE'RE ATTEMPTING TO UPDATE THE ADDRESS. / WE WILL CONTACT THE SENDER.,UPS,Exception,Incorrect Info
THE ADDRESS LABEL IS ILLEGIBLE. THIS MAY DELAY DELIVERY. WE'RE ATTEMPTING TO UPDATE THE ADDRESS. / YOUR DELIVERY WILL BE RESCHEDULED.,UPS,Exception,Incorrect Info
THE APARTMENT NUMBER IS EITHER MISSING OR INCORRECT. THIS MAY DELAY DELIVERY. WE'RE ATTEMPTING TO UPDATE THE ADDRESS.,UPS,Exception,Incorrect Info
THE APARTMENT NUMBER IS EITHER MISSING OR INCORRECT. THIS MAY DELAY DELIVERY. WE'RE ATTEMPTING TO UPDATE THE ADDRESS. / THE PACKAGE WILL BE RETURNED TO THE SENDER.,UPS,Exception,Incorrect Info
THE APARTMENT NUMBER IS EITHER MISSING OR INCORRECT. THIS MAY DELAY DELIVERY. WE'RE ATTEMPTING TO UPDATE THE ADDRESS. / WE'LL CONTACT THE SENDER OR RECEIVER ABOUT THIS DELIVERY.,UPS,Exception,Incorrect Info
THE APARTMENT NUMBER IS EITHER MISSING OR INCORRECT. THIS MAY DELAY DELIVERY. WE'RE ATTEMPTING TO UPDATE THE ADDRESS. / WE REQUIRE A PHONE NUMBER FOR THE DELIVERY ADDRESS.,UPS,Exception,Incorrect Info
THE APARTMENT NUMBER IS EITHER MISSING OR INCORRECT. THIS MAY DELAY DELIVERY. WE'RE ATTEMPTING TO UPDATE THE ADDRESS. / WE'VE LEFT A MESSAGE FOR THE RECEIVER TO CONTACT US.,UPS,Exception,Incorrect Info
THE APARTMENT NUMBER IS EITHER MISSING OR INCORRECT. THIS MAY DELAY DELIVERY. WE'RE ATTEMPTING TO UPDATE THE ADDRESS. / WE WILL CONTACT THE SENDER.,UPS,Exception,Incorrect Info
THE APARTMENT NUMBER IS EITHER MISSING OR INCORRECT. THIS MAY DELAY DELIVERY. WE'RE ATTEMPTING TO UPDATE THE ADDRESS. / YOUR DELIVERY HAS BEEN RESCHEDULED FOR THE NEXT BUSINESS DAY.,UPS,Exception,Incorrect Info
THE APARTMENT NUMBER IS EITHER MISSING OR INCORRECT. THIS MAY DELAY DELIVERY. WE'RE ATTEMPTING TO UPDATE THE ADDRESS. / YOUR DELIVERY WILL BE RESCHEDULED.,UPS,Exception,Incorrect Info
THE BILLING OPTION SELECTED IS NOT VALID FOR THIS PACKAGE.,UPS,Exception,Other Delays
THE BILLING OPTION SELECTED IS NOT VALID FOR THIS PACKAGE. / THE INFORMATION REQUESTED HAS BEEN OBTAINED AND THE HOLD HAS BEEN RESOLVED.,UPS,Exception,Other Delays
THE BILLING OPTION SELECTED IS NOT VALID FOR THIS PACKAGE. / YOUR PACKAGE IS ON THE WAY,UPS,Exception,Other Delays
THE BOROUGH OR COUNTY SHOWN IN THE ADDRESS IS INCORRECT AND MAY DELAY DELIVERY. WE'RE ATTEMPTING TO UPDATE THE ADDRESS. / THE PACKAGE WILL BE RETURNED TO THE SENDER.,UPS,Exception,Incorrect Info
THE CITY NAME IN THE ADDRESS IS INCORRECT. THIS MAY DELAY DELIVERY. WE'RE ATTEMPTING TO UPDATE THE ADDRESS.,UPS,Exception,Incorrect Info
THE CITY NAME IN THE ADDRESS IS INCORRECT. THIS MAY DELAY DELIVERY. WE'RE ATTEMPTING TO UPDATE THE ADDRESS. / THE ADDRESS WAS CORRECTED.,UPS,Exception,Incorrect Info
THE CITY NAME IN THE ADDRESS IS INCORRECT. THIS MAY DELAY DELIVERY. WE'RE ATTEMPTING TO UPDATE THE ADDRESS. / WE WILL CONTACT THE SENDER.,UPS,Exception,Incorrect Info
THE C.O.D. AMOUNT IS MISSING FROM THE LABEL. WE'RE ATTEMPTING TO UPDATE THIS INFORMATION. / YOUR DELIVERY WILL BE RESCHEDULED.,UPS,Exception,Incorrect Info
THE COMMODITY VALUE OF YOUR PACKAGE EXCEEDS THE LIMIT WE ALLOW.,UPS,Exception,Other Delays
THE COMMODITY VALUE OF YOUR PACKAGE EXCEEDS THE LIMIT WE ALLOW. / THE INFORMATION REQUESTED HAS BEEN OBTAINED AND THE HOLD HAS BEEN RESOLVED.,UPS,Exception,Other Delays
THE COMMODITY VALUE OF YOUR PACKAGE EXCEEDS THE LIMIT WE ALLOW. / THE PACKAGE WILL BE RETURNED TO THE SENDER.,UPS,Exception,Other Delays
THE COMMODITY VALUE OF YOUR PACKAGE EXCEEDS THE LIMIT WE ALLOW. / THE SENDER REQUESTED THAT WE RETURN THIS PACKAGE.,UPS,Exception,Other Delays
THE COMMODITY VALUE OF YOUR PACKAGE EXCEEDS THE LIMIT WE ALLOW. / YOUR PACKAGE IS ON THE WAY,UPS,Exception,Other Delays
"THE COMPANY OR RECEIVER NAME IS INCORRECT. PLEASE RESOLVE THIS USING THE ""CHANGE MY DELIVERY"" BUTTON TO RESUME THE TRANSIT JOURNEY.",UPS,Exception,Incorrect Info
THE COMPANY OR RECEIVER NAME IS INCORRECT. THIS WILL DELAY DELIVERY. WE'RE ATTEMPTING TO UPDATE THIS INFORMATION.,UPS,Exception,Incorrect Info
THE COMPANY OR RECEIVER NAME IS INCORRECT. THIS WILL DELAY DELIVERY. WE'RE ATTEMPTING TO UPDATE THIS INFORMATION. / SCHEDULED FOR DELIVERY TODAY.,UPS,Exception,Incorrect Info
THE COMPANY OR RECEIVER NAME IS INCORRECT. THIS WILL DELAY DELIVERY. WE'RE ATTEMPTING TO UPDATE THIS INFORMATION. / THE PACKAGE IS UNDELIVERABLE AND IS IN THE PROCESS OF BEING DISPOSED OF ACCORDING TO THE LOCAL GUIDELINES.,UPS,Exception,Incorrect Info
THE COMPANY OR RECEIVER NAME IS INCORRECT. THIS WILL DELAY DELIVERY. WE'RE ATTEMPTING TO UPDATE THIS INFORMATION. / THE PACKAGE WILL BE RETURNED TO THE SENDER.,UPS,Exception,Incorrect Info
